
 | Ошибка: Нет соединения с базой данных | дата: 2018-08-05 | время: 9:53:14
 | Ошибка: Запрашиваемая вами новость не найдена | дата: 2018-08-05 | время: 11:56:11
 | Ошибка: Новости не найдены | дата: 2018-08-05 | время: 11:56:30
 | Ошибка: Новости не найдены | дата: 2018-08-05 | время: 11:56:57
 | Ошибка: Ошибка в запросе | дата: 2018-08-07 | время: 8:01:51
 | Ошибка: Нет соединения с базой данных | дата: 2018-08-07 | время: 8:10:00
 | Ошибка: Нет соединения с базой данных | дата: 2018-08-07 | время: 8:10:01
 | Ошибка: Нет соединения с базой данных | дата: 2018-08-07 | время: 8:10:18
 | Ошибка: Ошибка в запросе | дата: 2018-08-07 | время: 12:17:19
 | Ошибка: Ошибка в запросе | дата: 2018-08-07 | время: 12:24:36
 | Ошибка: Ошибка в запросе | дата: 2018-08-07 | время: 12:29:54
 | Ошибка: Нет соединения с базой данных | дата: 2018-08-07 | время: 12:33:52
 | Ошибка: Ошибка в запросе | дата: 2018-08-07 | время: 12:43:59
